GenusSpecies,ConGenus,ConFamily,ConOrder,ConClass,ConPhylum,Superkingdom,GrowthRate,RateUnit,Optimum Temp,TempUnit,AverageVolume,VolumeUnit,Sources,Notes
Rhodothermus marinus,Rhodothermus,Rhodothermaceae,Bacteroidetes Order II. Incertae sedis,NA,Bacteroidetes,Bacteria,2.01E-06,s^-1,68,Celsius,1.77E-18,m^3,"corkrey, engqvist, genbank, gold, jemma-refseq, kegg, microbe-directory, patric, protraits, rrndb","222, 555, 5352, 7535, 12331, 13655, 15054, 15517, 18701, 18707, 18718, 18723"
Synechococcus elongatus,Synechococcus,Synechococcaceae,Synechococcales,NA,Cyanobacteria,Bacteria,5.46E-06,s^-1,32.5,Celsius,1.55E-18,m^3,"engqvist, genbank, gold, jemma-refseq, kegg, kremer, microbe-directory, patric, prochlorococcus, protraits, rrndb, silva","555, 4442, 7894, 12331, 13879, 14213, 14339, 18538, 18701, 18707, 18711, 18718, 18723, 18965"
Acidithiobacillus caldus,Acidithiobacillus,Acidithiobacillaceae,Acidithiobacillales,Acidithiobacillia,Proteobacteria,Bacteria,1.36E-05,s^-1,45.5,Celsius,5.52E-19,m^3,"corkrey, engqvist, genbank, gold, jemma-refseq, kegg, microbe-directory, patric, protraits, rrndb, bergeys","254, 555, 5114, 7616, 8184, 12331, 12349, 15492, 17288, 18701, 18707, 18718, 18782, 18723"
Geobacillus thermocatenulatus,Geobacillus,Bacillaceae,Bacillales,Bacilli,Firmicutes,Bacteria,4.05E-06,s^-1,62.5,Celsius,9.92E-18,m^3,"corkrey, engqvist, fierer, genbank, gold, rrndb, bergeys","156, 555, 1803, 6228, 12331, 18723"
Clostridium magnum,Clostridium,Clostridiaceae,Clostridiales,Clostridia,Firmicutes,Bacteria,6.42E-05,s^-1,31,Celsius,4.50E-17,m^3,"corkrey, engqvist, gold, protraits","114, 555, 12331, 18718"
Lactobacillus johnsonii,Lactobacillus,Lactobacillaceae,Lactobacillales,Bacilli,Firmicutes,Bacteria,0.000137825,s^-1,32.333,Celsius,4.25E-18,m^3,"bacdive-microa, campedelli, engqvist, genbank, gold, kegg, microbe-directory, patric, protraits, rrndb, silva, bergeys","1, 2, 555, 4952, 7663, 8158, 8517, 8848, 9008, 9355, 9567, 10693, 12331, 14208, 15055, 15854, 16765, 18701, 18707, 18718, 18723, 18874"
Geobacter sulfurreducens,Geobacter,Geobacteraceae,Desulfuromonadales,Deltaproteobacteria,Proteobacteria,Bacteria,1.10E-05,s^-1,29.333,Celsius,2.62E-19,m^3,"engqvist, genbank, gold, jemma-refseq, kegg, mediadb, microbe-directory, patric, protraits, rrndb, silva, bergeys","555, 4631, 7756, 12331, 12995, 14205, 15834, 18560, 18701, 18707, 18718, 18723, 18859"
Heliobacterium modesticaldum,Heliobacterium,Heliobacteriaceae,Clostridiales,Clostridia,Firmicutes,Bacteria,1.09E-05,s^-1,51,Celsius,3.47E-18,m^3,"corkrey, engqvist, genbank, gold, jemma-refseq, kegg, microbe-directory, patric, protraits, rrndb, bergeys","106, 555, 4768, 12331, 13062, 14692, 18701, 18707, 18718, 18723"
Desulfitobacterium dehalogenans,Desulfitobacterium,Peptococcaceae,Clostridiales,Clostridia,Firmicutes,Bacteria,1.65E-05,s^-1,38,Celsius,1.15E-18,m^3,"corkrey, engqvist, genbank, gold, jemma-refseq, kegg, microbe-directory, protraits, rrndb, bergeys","15, 555, 5423, 12331, 12848, 16039, 18701, 18718, 18723"
Thermus scotoductus,Thermus,Thermaceae,Thermales,Deinococci,Deinococcus-Thermus,Bacteria,4.64E-06,s^-1,69.125,Celsius,2.62E-19,m^3,"corkrey, engqvist, genbank, gold, jemma-refseq, kegg, microbe-directory, patric, protraits, rrndb, bergeys","425, 555, 5277, 12331, 13968, 15331, 18701, 18707, 18718, 18723"
Corynebacterium pseudodiphtheriticum,Corynebacterium,Corynebacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,Bacteria,0.000102941,s^-1,37,Celsius,1.40E-19,m^3,"bacdive-microa, engqvist, gold, masonmm, microbe-directory, pasteur, patric, protraits, bergeys","1, 555, 12331, 18541, 18701, 18707, 18718"
Flavobacterium hibernum,Flavobacterium,Flavobacteriaceae,Flavobacteriales,Flavobacteriia,Bacteroidetes,Bacteria,3.53E-05,s^-1,25,Celsius,2.76E-18,m^3,"corkrey, engqvist, gold, pasteur, patric, bergeys","367, 555, 12331, 18707"
Methanolobus bombayensis,Methanolobus,Methanosarcinaceae,Methanosarcinales,Methanomicrobia,Euryarchaeota,Archaea,1.29E-05,s^-1,37,Celsius,1.57E-18,m^3,"corkrey, engqvist, gold, methanogen","316, 555, 12331, 18643"
Methanolobus oregonensis,Methanolobus,Methanosarcinaceae,Methanosarcinales,Methanomicrobia,Euryarchaeota,Archaea,7.89E-06,s^-1,36,Celsius,1.57E-18,m^3,"corkrey, engqvist, gold, methanogen","424, 555, 12331, 18644"
Methanolobus taylorii,Methanolobus,Methanosarcinaceae,Methanosarcinales,Methanomicrobia,Euryarchaeota,Archaea,1.30E-05,s^-1,33,Celsius,1.31E-19,m^3,"engqvist, gold, methanogen","555, 12331, 18647"
Methanolobus vulcani,Methanolobus,Methanosarcinaceae,Methanosarcinales,Methanomicrobia,Euryarchaeota,Archaea,9.03E-06,s^-1,40,Celsius,1.49E-18,m^3,"engqvist, gold, methanogen","555, 12331, 18649"
Methanosarcina siciliae,Methanosarcina,Methanosarcinaceae,Methanosarcinales,Methanomicrobia,Euryarchaeota,Archaea,9.19E-06,s^-1,40,Celsius,1.19E-17,m^3,"corkrey, engqvist, genbank, gold, jemma-refseq, kegg, methanogen, rrndb","472, 555, 6406, 7201, 8363, 12331, 13271, 17568, 17569, 17570, 18675, 18723"
Desulfotomaculum geothermicum,Desulfotomaculum,Peptococcaceae,Clostridiales,Clostridia,Firmicutes,Bacteria,1.05E-06,s^-1,54,Celsius,7.24E-19,m^3,"corkrey, engqvist, gold","513, 555, 12331"
Methanococcus maripaludis,Methanococcus,Methanococcaceae,Methanococcales,Methanococci,Euryarchaeota,Archaea,3.11E-05,s^-1,35.429,Celsius,1.97E-18,m^3,"corkrey, engqvist, genbank, gold, jemma-refseq, kegg, mediadb, methanogen, microbe-directory, patric, protraits, rrndb","34, 555, 4493, 7854, 8027, 8622, 8772, 9077, 12331, 13248, 13249, 14214, 14530, 14592, 14654, 15495, 17416, 17417, 18560, 18608, 18701, 18707, 18718, 18723"
Methanobrevibacter arboriphilus,Methanobrevibacter,Methanobacteriaceae,Methanobacteriales,Methanobacteria,Euryarchaeota,Archaea,5.81E-06,s^-1,33.5,Celsius,7.07E-19,m^3,"engqvist, gold, methanogen","555, 12331, 18582"
Methanohalophilus portucalensis,Methanohalophilus,Methanosarcinaceae,Methanosarcinales,Methanomicrobia,Euryarchaeota,Archaea,1.11E-05,s^-1,38.5,Celsius,7.54E-19,m^3,"corkrey, engqvist, gold, methanogen, patric","429, 555, 12331, 18639, 18707"
Methanosalsum zhilinae,Methanosalsum,Methanosarcinaceae,Methanosarcinales,Methanomicrobia,Euryarchaeota,Archaea,5.87E-06,s^-1,45,Celsius,1.59E-18,m^3,"engqvist, genbank, gold, jemma-refseq, kegg, methanogen, microbe-directory, patric, rrndb","555, 5216, 12331, 13264, 15453, 18666, 18701, 18707, 18723"
Clostridium grantii,Clostridium,Clostridiaceae,Clostridiales,Clostridia,Firmicutes,Bacteria,1.07E-05,s^-1,30,Celsius,1.43E-18,m^3,"corkrey, engqvist, gold, bergeys","105, 555, 12331"
Stygiolobus azoricus,Stygiolobus,Sulfolobaceae,Sulfolobales,Thermoprotei,Crenarchaeota,Archaea,1.03E-06,s^-1,80,Celsius,1.59E-18,m^3,"corkrey, engqvist, gold, bergeys","407, 555, 12331"
Rubrobacter radiotolerans,Rubrobacter,Rubrobacteraceae,Rubrobacterales,Rubrobacteria,Actinobacteria,Bacteria,7.52E-06,s^-1,60,Celsius,1.40E-18,m^3,"corkrey, engqvist, genbank, gold, jemma-refseq, kegg, pasteur, rrndb, bergeys","354, 555, 5545, 12331, 13683, 16888, 18723"
Halanaerobacter chitinivorans,Halanaerobacter,Halobacteroidaceae,Halanaerobiales,Clostridia,Firmicutes,Bacteria,1.24E-05,s^-1,37,Celsius,1.23E-18,m^3,"corkrey, engqvist, gold, bergeys","441, 555, 12331"
Methanococcus aeolicus,Methanococcus,Methanococcaceae,Methanococcales,Methanococci,Euryarchaeota,Archaea,2.61E-05,s^-1,44.2,Celsius,5.61E-18,m^3,"corkrey, engqvist, fierer, genbank, gold, jemma-refseq, kegg, methanogen, microbe-directory, patric, protraits, rrndb","369, 555, 2564, 4904, 12331, 13247, 14591, 18607, 18701, 18707, 18718, 18723"
[Clostridium] ultunense,NA,Tissierellaceae,Tissierellales,Tissierellia,Firmicutes,Bacteria,1.23E-06,s^-1,37,Celsius,2.76E-17,m^3,"corkrey, engqvist, gold, microbe-directory, patric, bergeys","116, 555, 12331, 18701, 18707"
Thermoanaerobacter wiegelii,Thermoanaerobacter,Thermoanaerobacteraceae,Thermoanaerobacterales,Clostridia,Firmicutes,Bacteria,5.96E-06,s^-1,64.5,Celsius,1.34E-18,m^3,"corkrey, engqvist, genbank, gold, jemma-refseq, kegg, microbe-directory, patric, protraits, rrndb, bergeys","221, 555, 5245, 12331, 13918, 15518, 18701, 18707, 18718, 18723"
Alkalispirochaeta alkalica,Alkalispirochaeta,Spirochaetaceae,Spirochaetales,Spirochaetia,Spirochaetes,Bacteria,2.59E-06,s^-1,35,Celsius,9.54E-20,m^3,"corkrey, engqvist, gold, microbe-directory, bergeys","338, 555, 12331, 18701"
Dethiosulfovibrio peptidovorans,Dethiosulfovibrio,Synergistaceae,Synergistales,Synergistia,Synergistetes,Bacteria,2.36E-05,s^-1,42,Celsius,4.19E-18,m^3,"corkrey, engqvist, gold, microbe-directory, patric, protraits","467, 555, 12331, 18701, 18707, 18718"
Methanobrevibacter cuticularis,Methanobrevibacter,Methanobacteriaceae,Methanobacteriales,Methanobacteria,Euryarchaeota,Archaea,1.69E-06,s^-1,37,Celsius,1.34E-19,m^3,"engqvist, gold, methanogen","555, 12331, 18584"
Thermoanaerobacterium aotearoense,Thermoanaerobacterium,Thermoanaerobacterales Family III. Incertae Sedis,Thermoanaerobacterales,Clostridia,Firmicutes,Bacteria,5.81E-06,s^-1,55,Celsius,6.20E-18,m^3,"corkrey, engqvist, gold, patric, bergeys","394, 555, 12331, 18707"
Rubrobacter xylanophilus,Rubrobacter,Rubrobacteraceae,Rubrobacterales,Rubrobacteria,Actinobacteria,Bacteria,3.53E-06,s^-1,60,Celsius,1.19E-18,m^3,"corkrey, engqvist, genbank, gold, jemma-refseq, kegg, microbe-directory, pasteur, patric, protraits, rrndb, silva, bergeys","354, 555, 4707, 12331, 13684, 14407, 18701, 18707, 18718, 18723, 18943"
Methanothermobacter defluvii,Methanothermobacter,Methanobacteriaceae,Methanobacteriales,Methanobacteria,Euryarchaeota,Archaea,5.61E-06,s^-1,60,Celsius,5.49E-19,m^3,"corkrey, engqvist, gold, methanogen, bergeys","506, 555, 12331, 18688"
Methanothermobacter thermoflexus,Methanothermobacter,Methanobacteriaceae,Methanobacteriales,Methanobacteria,Euryarchaeota,Archaea,4.97E-06,s^-1,55,Celsius,1.68E-18,m^3,"corkrey, engqvist, gold, methanogen, bergeys","506, 555, 12331, 18688"
Methanobrevibacter curvatus,Methanobrevibacter,Methanobacteriaceae,Methanobacteriales,Methanobacteria,Euryarchaeota,Archaea,2.41E-06,s^-1,30,Celsius,1.35E-19,m^3,"engqvist, gold, methanogen","555, 12331, 18584"
Caloramator proteoclasticus,Caloramator,Clostridiaceae,Clostridiales,Clostridia,Firmicutes,Bacteria,3.40E-05,s^-1,55,Celsius,3.85E-19,m^3,"corkrey, engqvist, gold","133, 555, 12331"
Thermobrachium celere,Thermobrachium,Clostridiaceae,Clostridiales,Clostridia,Firmicutes,Bacteria,3.58E-05,s^-1,55,Celsius,5.86E-18,m^3,"corkrey, engqvist, gold, protraits, bergeys","498, 555, 12331, 18718"
Sulfophobococcus zilligii,Sulfophobococcus,Desulfurococcaceae,Desulfurococcales,Thermoprotei,Crenarchaeota,Archaea,4.53E-07,s^-1,85,Celsius,6.70E-17,m^3,"corkrey, engqvist, gold, bergeys","395, 555, 12331"
Nakamurella multipartita,Nakamurella,Nakamurellaceae,Nakamurellales,Actinobacteria,Actinobacteria,Bacteria,1.04E-05,s^-1,25,Celsius,7.18E-18,m^3,"engqvist, genbank, gold, jemma-refseq, kegg, microbe-directory, pasteur, patric, protraits, rrndb, bergeys","555, 5417, 12331, 13384, 15030, 18701, 18707, 18718, 18723"
Thermosphaera aggregans,Thermosphaera,Desulfurococcaceae,Desulfurococcales,Thermoprotei,Crenarchaeota,Archaea,1.18E-06,s^-1,85,Celsius,5.36E-19,m^3,"corkrey, engqvist, genbank, gold, jemma-refseq, kegg, microbe-directory, patric, protraits, rrndb","335, 555, 5110, 12331, 13956, 15163, 18701, 18707, 18718, 18723"
Ferroglobus placidus,Ferroglobus,Archaeoglobaceae,Archaeoglobales,Archaeoglobi,Euryarchaeota,Archaea,7.60E-07,s^-1,85,Celsius,1.05E-18,m^3,"corkrey, engqvist, genbank, gold, jemma-refseq, kegg, microbe-directory, patric, protraits, rrndb, bergeys","304, 555, 5092, 12331, 12946, 15099, 18701, 18707, 18718, 18723"
Sporomusa silvacetica,Sporomusa,Sporomusaceae,Selenomonadales,Negativicutes,Firmicutes,Bacteria,6.88E-06,s^-1,30,Celsius,1.26E-18,m^3,"corkrey, engqvist, gold","132, 555, 12331"
Methanobrevibacter filiformis,Methanobrevibacter,Methanobacteriaceae,Methanobacteriales,Methanobacteria,Euryarchaeota,Archaea,2.60E-06,s^-1,30,Celsius,1.63E-19,m^3,"engqvist, gold, methanogen","555, 12331, 18585"
Archaeoglobus veneficus,Archaeoglobus,Archaeoglobaceae,Archaeoglobales,Archaeoglobi,Euryarchaeota,Archaea,2.97E-06,s^-1,76.25,Celsius,6.43E-19,m^3,"corkrey, engqvist, genbank, gold, jemma-refseq, kegg, microbe-directory, patric, protraits, rrndb, bergeys","492, 555, 5332, 12331, 12434, 15367, 18701, 18707, 18718, 18723"
Methanobacterium subterraneum,Methanobacterium,Methanobacteriaceae,Methanobacteriales,Methanobacteria,Euryarchaeota,Archaea,1.34E-05,s^-1,30,Celsius,1.05E-20,m^3,"corkrey, engqvist, genbank, gold, methanogen","225, 555, 7004, 12331, 18577"
Dehalococcoides mccartyi,Dehalococcoides,Dehalococcoidaceae,Dehalococcoidales,Dehalococcoidia,Chloroflexi,Bacteria,4.68E-06,s^-1,31,Celsius,1.54E-19,m^3,"fierer, genbank, gold, jemma-refseq, kegg, microbe-directory, patric, protraits, rrndb, silva","1453, 4620, 7760, 8096, 8564, 8809, 9040, 9245, 9375, 9547, 9634, 9783, 9843, 9962, 10003, 10116, 10530, 7196, 12331, 12831, 12832, 14267, 14312, 14557, 15069, 15109, 16342, 16343, 16762, 17373, 17374, 17375, 18701, 18707, 18718, 18723, 18848"
Haloterrigena turkmenica,Haloterrigena,Natrialbaceae,Natrialbales,Halobacteria,Euryarchaeota,Archaea,1.50E-05,s^-1,37,Celsius,5.61E-18,m^3,"corkrey, engqvist, genbank, gold, jemma-refseq, kegg, microbe-directory, pasteur, patric, protraits, rrndb","149, 555, 5237, 12331, 13049, 15083, 18701, 18707, 18718, 18723"
Methanogenium frigidum,Methanogenium,Methanomicrobiaceae,Methanomicrobiales,Methanomicrobia,Euryarchaeota,Archaea,4.53E-06,s^-1,15,Celsius,6.63E-18,m^3,"corkrey, engqvist, gold, methanogen, protraits","268, 555, 12331, 18631, 18718"
Sodalis glossinidius,Sodalis,Pectobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria,4.72E-06,s^-1,25,Celsius,8.08E-18,m^3,"bacdive-microa, engqvist, genbank, gold, jemma-refseq, kegg, microbe-directory, patric, protraits, rrndb, silva, bergeys","1, 555, 4480, 7863, 12331, 13748, 14355, 18701, 18707, 18718, 18723, 18949"
Methanobrevibacter oralis,Methanobrevibacter,Methanobacteriaceae,Methanobacteriales,Methanobacteria,Euryarchaeota,Archaea,4.23E-06,s^-1,37.25,Celsius,1.27E-19,m^3,"engqvist, gold, methanogen","555, 12331, 18588"
Methanocaldococcus infernus,Methanocaldococcus,Methanocaldococcaceae,Methanococcales,Methanococci,Euryarchaeota,Archaea,3.46E-06,s^-1,82,Celsius,8.38E-18,m^3,"corkrey, engqvist, genbank, gold, jemma-refseq, kegg, methanogen, microbe-directory, patric, protraits, rrndb","352, 555, 5066, 12331, 13240, 15160, 18597, 18701, 18707, 18718, 18723"
Deinococcus geothermalis,Deinococcus,Deinococcaceae,Deinococcales,Deinococci,Deinococcus-Thermus,Bacteria,2.60E-05,s^-1,47,Celsius,2.33E-18,m^3,"corkrey, engqvist, genbank, gold, jemma-refseq, kegg, microbe-directory, pasteur, patric, protraits, rrndb, bergeys","379, 555, 4775, 12331, 12836, 14392, 18701, 18707, 18718, 18723"
Deinococcus murrayi,Deinococcus,Deinococcaceae,Deinococcales,Deinococci,Deinococcus-Thermus,Bacteria,2.34E-05,s^-1,47,Celsius,4.29E-18,m^3,"bacdive-microa, corkrey, engqvist, gold, pasteur","1, 379, 555, 12331"
Petrotoga mobilis,Petrotoga,NA,Petrotogales,Thermotogae,Thermotogae,Bacteria,1.04E-06,s^-1,59,Celsius,1.21E-18,m^3,"corkrey, engqvist, genbank, gold, jemma-refseq, kegg, microbe-directory, patric, protraits, rrndb, silva, bergeys","226, 555, 4885, 12331, 13514, 14660, 18701, 18707, 18718, 18723, 18917"
Natrinema pellirubrum,Natrinema,Natrialbaceae,Natrialbales,Halobacteria,Euryarchaeota,Archaea,1.20E-05,s^-1,32.5,Celsius,1.97E-18,m^3,"corkrey, engqvist, genbank, gold, jemma-refseq, kegg, microbe-directory, pasteur, rrndb","149, 555, 5588, 12331, 13387, 16294, 18701, 18723"
Methanocalculus halotolerans,Methanocalculus,Methanocalculaceae,Methanomicrobiales,Methanomicrobia,Euryarchaeota,Archaea,5.38E-06,s^-1,38,Celsius,1.05E-18,m^3,"corkrey, engqvist, gold, methanogen","468, 555, 12331, 18591"
Methanocorpusculum bavaricum,Methanocorpusculum,Methanocorpusculaceae,Methanomicrobiales,Methanomicrobia,Euryarchaeota,Archaea,1.22E-05,s^-1,37,Celsius,1.05E-18,m^3,"corkrey, engqvist, gold, methanogen","412, 555, 12331, 18612"
Methanoculleus palmolei,Methanoculleus,Methanomicrobiaceae,Methanomicrobiales,Methanomicrobia,Euryarchaeota,Archaea,3.45E-06,s^-1,40,Celsius,4.49E-18,m^3,"corkrey, engqvist, gold, methanogen","27, 555, 12331, 18620"
Methanocaldococcus vulcanius,Methanocaldococcus,Methanocaldococcaceae,Methanococcales,Methanococci,Euryarchaeota,Archaea,3.97E-06,s^-1,78.167,Celsius,8.38E-18,M^3,"corkrey, engqvist, genbank, gold, jemma-refseq, kegg, methanogen, microbe-directory, patric, protraits, rrndb","341, 555, 5077, 12331, 13242, 15049, 18595, 18701, 18707, 18718, 18723"
Thermaerobacter marianensis,Thermaerobacter,Clostridiales Family XVII. Incertae Sedis,Clostridiales,Clostridia,Firmicutes,Bacteria,1.27E-07,s^-1,75,Celsius,6.92E-19,m^3,"corkrey, engqvist, genbank, gold, jemma-refseq, kegg, microbe-directory, patric, protraits, rrndb, bergeys","138, 555, 5164, 12331, 13914, 15305, 18701, 18707, 18718, 18723"
Photobacterium profundum,Photobacterium,Vibrionaceae,Vibrionales,Gammaproteobacteria,Proteobacteria,Bacteria,0.000226519,s^-1,15,Celsius,1.72E-18,m^3,"engqvist, genbank, gold, jemma-refseq, kegg, microbe-directory, pasteur, patric, protraits, rrndb, silva, bergeys","555, 4744, 12331, 13518, 14220, 18701, 18707, 18718, 18723, 18918"
Desulfotomaculum putei,Desulfotomaculum,Peptococcaceae,Clostridiales,Clostridia,Firmicutes,Bacteria,4.99E-06,s^-1,64,Celsius,2.73E-18,m^3,"corkrey, engqvist, gold","365, 555, 12331"
Methanofollis tationis,Methanofollis,Methanomicrobiaceae,Methanomicrobiales,Methanomicrobia,Euryarchaeota,Archaea,4.32E-06,s^-1,38.5,Celsius,2.83E-17,m^3,"corkrey, engqvist, gold, methanogen","489, 555, 12331, 18629"
Rhodoferax antarcticus,Rhodoferax,Comamonadaceae,Burkholderiales,Betaproteobacteria,Proteobacteria,Bacteria,9.22E-06,s^-1,16.5,Celsius,9.69E-19,m^3,"corkrey, engqvist, genbank, gold, kegg, rrndb, bergeys","267, 555, 5671, 12331, 18224, 18723"
Methanocaldococcus fervens,Methanocaldococcus,Methanocaldococcaceae,Methanococcales,Methanococci,Euryarchaeota,Archaea,6.45E-06,s^-1,77,Celsius,3.53E-18,m^3,"engqvist, genbank, gold, jemma-refseq, kegg, methanogen, microbe-directory, patric, protraits, rrndb","555, 5067, 12331, 13239, 15015, 18595, 18701, 18707, 18718, 18723"
Methanobacterium espanolae,Methanobacterium,Methanobacteriaceae,Methanobacteriales,Methanobacteria,Euryarchaeota,Archaea,3.61E-06,s^-1,35,Celsius,2.88E-18,m^3,"corkrey, engqvist, gold, methanogen","423, 555, 12331, 18567"
Methanobacterium thermaggregans,Methanobacterium,Methanobacteriaceae,Methanobacteriales,Methanobacteria,Euryarchaeota,Archaea,2.34E-06,s^-1,65,Celsius,7.37E-19,m^3,"corkrey, engqvist, gold, methanogen","414, 555, 12331, 18578"
Methanocorpusculum labreanum,Methanocorpusculum,Methanocorpusculaceae,Methanomicrobiales,Methanomicrobia,Euryarchaeota,Archaea,6.30E-06,s^-1,37,Celsius,1.81E-18,m^3,"corkrey, engqvist, genbank, gold, jemma-refseq, kegg, methanogen, microbe-directory, patric, protraits, rrndb","315, 555, 4892, 12331, 13252, 14511, 18613, 18701, 18707, 18718, 18723"
Methanocorpusculum sinense,Methanocorpusculum,Methanocorpusculaceae,Methanomicrobiales,Methanomicrobia,Euryarchaeota,Archaea,4.81E-06,s^-1,30,Celsius,1.05E-18,m^3,"engqvist, gold, methanogen","555, 12331, 18612"
Methanoculleus bourgensis,Methanoculleus,Methanomicrobiaceae,Methanomicrobiales,Methanomicrobia,Euryarchaeota,Archaea,4.82E-06,s^-1,38.5,Celsius,3.53E-18,m^3,"corkrey, engqvist, genbank, gold, jemma-refseq, kegg, methanogen, microbe-directory, protraits, rrndb","49, 555, 5948, 7340, 12331, 13253, 16081, 18615, 18701, 18718, 18723"
Archaeoglobus profundus,Archaeoglobus,Archaeoglobaceae,Archaeoglobales,Archaeoglobi,Euryarchaeota,Archaea,6.81E-07,s^-1,82,Celsius,2.48E-18,m^3,"corkrey, engqvist, genbank, gold, jemma-refseq, kegg, patric, protraits, rrndb","508, 555, 5059, 12331, 12432, 15081, 18707, 18718, 18723"
Methanosarcina semesiae,Methanosarcina,Methanosarcinaceae,Methanosarcinales,Methanomicrobia,Euryarchaeota,Archaea,2.18E-05,s^-1,32.5,Celsius,2.87E-18,m^3,"corkrey, gold, methanogen","427, 12331, 18674"
Thermacetogenium phaeum,Thermacetogenium,Thermoanaerobacteraceae,Thermoanaerobacterales,Clostridia,Firmicutes,Bacteria,6.07E-07,s^-1,58,Celsius,1.69E-18,m^3,"corkrey, engqvist, genbank, gold, jemma-refseq, kegg, microbe-directory, protraits, rrndb","240, 555, 5700, 12331, 13913, 16155, 18701, 18718, 18723"
Thermodesulfovibrio aggregans,Thermodesulfovibrio,Nitrospiraceae,Nitrospirales,Nitrospira,Nitrospirae,Bacteria,5.01E-07,s^-1,60,Celsius,4.70E-19,m^3,"corkrey, engqvist, fierer, gold, patric","194, 555, 4194, 12331, 18707"
Syntrophothermus lipocalidus,Syntrophothermus,Syntrophomonadaceae,Clostridiales,Clostridia,Firmicutes,Bacteria,9.27E-07,s^-1,55,Celsius,4.53E-19,m^3,"corkrey, engqvist, genbank, gold, jemma-refseq, kegg, microbe-directory, patric, protraits, rrndb, bergeys","252, 555, 5156, 12331, 13897, 15178, 18701, 18707, 18718, 18723"
Alicyclobacillus hesperidum,Alicyclobacillus,Alicyclobacillaceae,Bacillales,Bacilli,Firmicutes,Bacteria,3.77E-05,s^-1,48.75,Celsius,1.13E-18,m^3,"corkrey, engqvist, gold, microbe-directory, pasteur, patric, bergeys","357, 555, 12331, 18701, 18707"
Methanimicrococcus blatticola,Methanimicrococcus,Methanosarcinaceae,Methanosarcinales,Methanomicrobia,Euryarchaeota,Archaea,1.66E-05,s^-1,39,Celsius,5.36E-19,m^3,"corkrey, engqvist, gold, methanogen","436, 555, 12331, 18656"
Clostridium akagii,Clostridium,Clostridiaceae,Clostridiales,Clostridia,Firmicutes,Bacteria,1.24E-05,s^-1,22.5,Celsius,4.84E-18,m^3,"corkrey, engqvist, gold","88, 555, 12331"
Clostridium acidisoli,Clostridium,Clostridiaceae,Clostridiales,Clostridia,Firmicutes,Bacteria,2.75E-05,s^-1,27.5,Celsius,3.67E-18,m^3,"corkrey, engqvist, gold","88, 555, 12331"
Clostridium gasigenes,Clostridium,Clostridiaceae,Clostridiales,Clostridia,Firmicutes,Bacteria,0.000116409,s^-1,21,Celsius,5.80E-19,m^3,"corkrey, engqvist, gold, bergeys","348, 555, 12331"
Acetomicrobium mobile,Acetomicrobium,Synergistaceae,Synergistales,Synergistia,Synergistetes,Bacteria,5.06E-06,s^-1,56.25,Celsius,1.21E-18,m^3,"corkrey, engqvist, genbank, gold, jemma-refseq, kegg, microbe-directory, protraits, rrndb","464, 555, 5494, 12331, 12337, 16044, 18701, 18718, 18723"
Methanomethylovorans hollandica,Methanomethylovorans,Methanosarcinaceae,Methanosarcinales,Methanomicrobia,Euryarchaeota,Archaea,5.72E-06,s^-1,35.8,Celsius,2.05E-18,m^3,"engqvist, genbank, gold, jemma-refseq, kegg, methanogen, microbe-directory, patric, rrndb","555, 5582, 12331, 13259, 16287, 18652, 18701, 18707, 18723"
Desulfovibrio inopinatus,Desulfovibrio,Desulfovibrionaceae,Desulfovibrionales,Deltaproteobacteria,Proteobacteria,Bacteria,4.81E-06,s^-1,30,Celsius,9.31E-18,m^3,"corkrey, engqvist, gold, patric","542, 555, 12331, 18707"
Desulfotomaculum alkaliphilum,Desulfotomaculum,Peptococcaceae,Clostridiales,Clostridia,Firmicutes,Bacteria,1.39E-06,s^-1,52.5,Celsius,1.01E-18,m^3,"corkrey, engqvist, gold","390, 555, 12331"
Methanocalculus taiwanensis,Methanocalculus,Methanocalculaceae,Methanomicrobiales,Methanomicrobia,Euryarchaeota,Archaea,6.36E-06,s^-1,37,Celsius,1.59E-18,m^3,"corkrey, engqvist, gold, methanogen","477, 555, 12331, 18594"
Thermoanaerobacter siderophilus,Thermoanaerobacter,Thermoanaerobacteraceae,Thermoanaerobacterales,Clostridia,Firmicutes,Bacteria,2.29E-06,s^-1,70,Celsius,1.19E-18,m^3,"corkrey, engqvist, gold, microbe-directory, protraits, bergeys","474, 555, 12331, 18701, 18718"
Thermanaerovibrio velox,Thermanaerovibrio,Synergistaceae,Synergistales,Synergistia,Synergistetes,Bacteria,1.91E-07,s^-1,62.5,Celsius,6.10E-19,m^3,"corkrey, engqvist, gold, microbe-directory, protraits","473, 555, 12331, 18701, 18718"
Thermoanaerobacter italicus,Thermoanaerobacter,Thermoanaerobacteraceae,Thermoanaerobacterales,Clostridia,Firmicutes,Bacteria,4.05E-06,s^-1,71.667,Celsius,9.89E-19,m^3,"engqvist, genbank, gold, jemma-refseq, kegg, microbe-directory, patric, protraits, rrndb, bergeys","555, 5078, 12331, 13916, 15105, 18701, 18707, 18718, 18723"
